company_number,company_name,postcode,address,sic,account_category,incorporation_date,group
10509122,YOUR BETTER GARDEN LTD,UB6 9RQ,20 STICKLETON CLOSE / GREENFORD,82990 - Other business support service activities n.e.c.,MICRO ENTITY,02/12/2016,small
14826061,SMARTFIXX LTD,LE11 3JD,9 MOUNTFIELDS DRIVE / LOUGHBOROUGH,45200 - Maintenance and repair of motor vehicles,MICRO ENTITY,25/04/2023,small
11075178,DKA PROPERTY MANAGEMENT SOLUTIONS LTD,MK1 1QT,EAST WING CASTLE HOUSE DAWSON ROAD / BLETCHLEY / MILTON KEYNES,68100 - Buying and selling of own real estate,MICRO ENTITY,21/11/2017,small
14681594,THE WUB CLUB LTD,S2 5TS,PLOT 22 / EXCHANGE STREET / SHEFFIELD,77220 - Renting of video tapes and disks,MICRO ENTITY,22/02/2023,small
10577995,JACK THE RIGGER LIMITED,WD5 0LW,72 TROWLEY RISE / ABBOTS LANGLEY,60200 - Television programming and broadcasting activities,MICRO ENTITY,23/01/2017,small
06713202,CHAHAL SWEET CENTRE LTD,SL2 1BT,336 FARNHAM ROAD / SLOUGH,56101 - Licensed restaurants,MICRO ENTITY,01/10/2008,small
15668869,ARLO GOLF CO LIMITED,BS15 3PQ,24 CENTRAL AVENUE / HANHAM / BRISTOL,47910 - Retail sale via mail order houses or via Internet,MICRO ENTITY,22/04/2024,small
07708068,SO SUPPORTIVE LTD,W1W 5PF,"167-169 GREAT PORTLAND STREET, GREAT PORTLAND STREET / FIFTH FLOOR, / LONDON",47750 - Retail sale of cosmetic and toilet articles in specialised stores,MICRO ENTITY,18/07/2011,small
14030435,HIGHLYINFLUENCED LTD,NW6 7ER,68 FLAT A / GLENGALL ROAD / LONDON,47910 - Retail sale via mail order houses or via Internet,MICRO ENTITY,06/04/2022,small
15095459,MICHAEL HANDLEY SOLUTIONS LIMITED,HA2 9RQ,163 WAVERLEY ROAD / HARROW,64209 - Activities of other holding companies n.e.c.,MICRO ENTITY,24/08/2023,small
05448505,STEFAN'S WOOD FLOORS LTD,NW2 7QR,13 THE CIRCLE / CRICKLEWOOD / LONDON,43330 - Floor and wall covering,MICRO ENTITY,10/05/2005,small
12187830,HAYES KEBAB (KENT) LIMITED,CR0 8ED,838 WICKHAM ROAD / CROYDON,56103 - Take-away food shops and mobile food stands,MICRO ENTITY,03/09/2019,small
14020127,THE HOLMS FARM LTD,NE47 9ST,THE HOLMES / SINDERHOPE / HEXHAM,01500 - Mixed farming,MICRO ENTITY,01/04/2022,small
13768908,ALEXMLUIS CARE LTD,OL10 3AD,90 TOWER STREET / TOWER STREET / HEYWOOD,"87200 - Residential care activities for learning difficulties, mental health and substance abuse",MICRO ENTITY,26/11/2021,small
10553962,EVERINTECH INFORMATION TECHNOLOGY & SERVICES LIMITED,CF5 1GE,8 VISHWELL ROAD / CARDIFF,62012 - Business and domestic software development,MICRO ENTITY,09/01/2017,small
