company_number,company_name,postcode,address,sic,account_category,incorporation_date,group
00828627,JOHN FAUSSET LIMITED,FY6 0HE,ELLESMERE ROSSLYN AVENUE / PREESALL / POULTON LE FYLDE,23610 - Manufacture of concrete products for construction purposes,MICRO ENTITY,25/11/1964,small
15655995,COSY KREATIONS LTD,L13 6RT,23 PLEMONT ROAD / LIVERPOOL,90030 - Artistic creation,MICRO ENTITY,17/04/2024,small
09322347,REAL ALE DEVELOPMENTS LIMITED,BS16 1EJ,C/O EASY TAX - ARGENTUM 510 BRISTOL BUSINESS PARK / COLDHARBOUR LANE / BRISTOL,41201 - Construction of commercial buildings,MICRO ENTITY,21/11/2014,small
11624231,MC GAS SERVICES LTD,LA13 0QP,10 WHITEHALL CARAVAN PARK COAST ROAD / RAMPSIDE / BARROW-IN-FURNESS,"43220 - Plumbing, heat and air-conditioning installation",MICRO ENTITY,15/10/2018,small
14245503,VONN DIAMOND LTD,SW3 1RB,54 WALTON STREET / LONDON,96020 - Hairdressing and other beauty treatment,MICRO ENTITY,20/07/2022,small
SC749431,FK ESTATES LTD,G2 4BL,C/O AVID ACCOUNTANTS / 21 BLYTHSWOOD SQUARE / GLASGOW,68100 - Buying and selling of own real estate,MICRO ENTITY,04/11/2022,small
15045114,AJP SAFETY SERVICES LTD,FY4 5LZ,UNIT 6 / NEPTUNE COURT / BLACKPOOL,71122 - Engineering related scientific and technical consulting activities,MICRO ENTITY,02/08/2023,small
07460018,B F MANAGEMENT SERVICES LIMITED,PE28 0JT,BROOK FARM 47 STATION ROAD / TILBROOK / HUNTINGDON,62020 - Information technology consultancy activities,MICRO ENTITY,03/12/2010,small
15270791,LONDON BRIDGE SERVICES UK LTD,N3 3LX,8 STANHOPE AVENUE / LONDON,70229 - Management consultancy activities other than financial management,MICRO ENTITY,08/11/2023,small
14146808,NIP SOLUTIONS LIMITED,CM13 3FR,"JUBILEE HOUSE, 3 THE DRIVE, / GREAT WARLEY / BRENTWOOD",41202 - Construction of domestic buildings,MICRO ENTITY,01/06/2022,small
